,Product,Quantity,Price,Grocery Store,Neighborhood,City
673,9,1.0,72.3,4,4,1
674,9,1.0,56.99,4,8,1
675,9,1.0,183.2,5,5,3
677,9,1.0,196.0,5,11,3
679,9,1.0,139.0,5,5,3
680,9,1.0,220.0,1,15,3
681,9,1.0,54.5,1,9,1
683,9,1.0,300.0,1,11,3
685,9,1.0,153.33333333333334,1,12,3
686,9,1.0,53.0,1,8,1
687,9,1.0,60.0,1,8,1
688,9,1.0,61.7,1,8,1
689,9,1.0,41.0,1,7,1
690,9,1.0,66.0,1,8,1
691,9,1.0,146.0,1,2,1
693,9,1.0,82.0,1,7,1
694,9,1.0,74.0,1,7,1
695,9,1.0,54.5,2,7,1
696,9,1.0,54.3,2,1,1
697,9,1.0,66.0,2,9,1
699,9,1.0,68.0,2,8,1
701,9,1.0,275.13712763893545,3,10,2
702,9,1.0,220.10970211114835,3,10,2
703,9,1.0,49.99,4,1,1
704,9,1.0,53.5,4,6,1
705,9,1.0,49.99,4,9,1
706,9,1.0,76.99,4,1,1
707,9,1.0,67.98,4,1,1
710,9,1.0,66.0,4,6,1
711,9,1.0,59.0,4,7,1
712,9,1.0,53.5,4,6,1
713,9,1.0,70.0,4,4,1
714,9,1.0,98.49,4,8,1
715,9,1.0,112.66,5,5,3
717,9,1.0,178.0,5,11,3
719,9,1.0,238.66666666666666,5,5,3
720,7,1.0,177.6103336921421,1,15,3
721,7,1.0,40.25,1,9,1
722,7,1.0,182.79569892473117,1,13,3
723,7,1.0,180.79999999999998,1,11,3
724,7,1.0,181.04366347177847,1,14,3
725,7,1.0,174.47495961227787,1,12,3
726,7,1.0,45.0,1,8,1
727,7,1.0,51.0,1,8,1
728,7,1.0,45.77,1,8,1
729,7,1.0,70.0,1,7,1
730,7,1.0,69.0,1,8,1
731,7,1.0,69.0,1,2,1
732,7,1.0,66.0,1,2,1
733,7,1.0,40.25,1,7,1
734,7,1.0,65.0,1,7,1
735,7,1.0,69.0,2,7,1
736,7,1.0,40.25,2,1,1
737,7,1.0,60.0,2,9,1
738,7,1.0,60.0,2,3,1
739,7,1.0,65.0,2,8,1
740,7,1.0,65.0,2,7,1
741,7,1.0,1998.0,3,10,2
742,7,1.0,135.25622601315365,3,10,2
743,7,1.0,52.49,4,1,1
744,7,1.0,68.99,4,6,1
745,7,1.0,44.29,4,9,1
746,7,1.0,68.99,4,1,1
747,7,1.0,40.25,4,1,1
748,7,1.0,46.0,4,7,1
749,7,1.0,45.0,4,3,1
750,7,1.0,49.99,4,6,1
751,7,1.0,70.0,4,7,1
752,7,1.0,52.5,4,6,1
753,7,1.0,52.5,4,4,1
754,7,1.0,244.0,4,8,1
755,7,1.0,179.4,5,5,3
756,7,1.0,160.21505376344086,5,5,3
757,7,1.0,180.0,5,11,3
758,7,1.0,182.8,5,15,3
759,7,1.0,241.37931034482762,5,5,3
760,7,1.0,173.3979536887453,1,15,3
761,7,1.0,51.9,1,9,1
762,7,1.0,180.57142857142858,1,13,3
763,7,1.0,168.39999999999998,1,11,3
764,7,1.0,170.0,1,14,3
765,7,1.0,107.78443113772455,1,12,3
766,7,1.0,66.0,1,8,1
767,7,1.0,65.0,1,8,1
768,7,1.0,51.99,1,8,1
769,7,1.0,49.0,1,7,1
770,7,1.0,59.0,1,8,1
771,7,1.0,49.9,1,2,1
773,7,1.0,65.0,1,7,1
774,7,1.0,49.0,1,7,1
775,7,1.0,60.0,2,7,1
776,7,1.0,65.0,2,1,1
777,7,1.0,65.0,2,9,1
778,7,1.0,45.0,2,3,1
779,7,1.0,73.0,2,8,1
780,7,1.0,70.0,2,7,1
781,7,1.0,1332.0,3,10,2
782,7,1.0,135.25622601315365,3,10,2
783,7,1.0,40.25,4,1,1
784,7,1.0,52.99,4,6,1
785,7,1.0,45.99,4,9,1
786,7,1.0,64.99,4,1,1
787,7,1.0,44.29,4,1,1
789,7,1.0,29.0,4,3,1
790,7,1.0,68.99,4,6,1
791,7,1.0,49.0,4,7,1
792,7,1.0,40.3,4,6,1
793,7,1.0,40.3,4,4,1
794,7,1.0,68.99,4,8,1
795,7,1.0,182.8,5,5,3
796,7,1.0,166.0,5,5,3
797,7,1.0,170.0,5,11,3
798,7,1.0,174.4,5,15,3
799,7,1.0,187.10359408033827,5,5,3
800,7,1.0,168.38235294117646,1,15,3
801,7,1.0,218.5,1,9,1
802,7,1.0,179.4871794871795,1,13,3
803,7,1.0,151.4,1,11,3
804,7,1.0,174.47495961227787,1,14,3
805,7,1.0,168.0,1,12,3
806,7,1.0,56.0,1,8,1
807,7,1.0,57.0,1,8,1
808,7,1.0,53.2,1,8,1
809,7,1.0,56.0,1,7,1
810,7,1.0,67.0,1,8,1
811,7,1.0,45.0,1,2,1
813,7,1.0,71.0,1,7,1
815,7,1.0,65.0,2,7,1
816,7,1.0,69.0,2,1,1
817,7,1.0,67.0,2,9,1
818,7,1.0,70.0,2,3,1
819,7,1.0,60.0,2,8,1
821,7,1.0,915.6666666666666,3,10,2
822,7,1.0,183.61032681285607,3,10,2
823,7,1.0,68.99,4,1,1
824,7,1.0,64.99,4,6,1
825,7,1.0,31.99,4,9,1
826,7,1.0,52.99,4,1,1
827,7,1.0,44.99,4,1,1
829,7,1.0,67.0,4,3,1
830,7,1.0,53.1,4,6,1
831,7,1.0,56.0,4,7,1
832,7,1.0,44.3,4,6,1
833,7,1.0,44.3,4,4,1
